# hostname;interval;timestamp;tps;rtps;wtps;bread/s;bwrtn/s
NOEYYRYH;60;2017-08-09 02:27:01 UTC;289.82;0.00;289.82;0.00;4521.60
NOEYYRYH;60;2017-08-09 02:28:01 UTC;12.38;0.00;12.38;0.00;136.11
NOEYYRYH;60;2017-08-09 02:29:01 UTC;291.76;0.00;291.76;0.00;4543.20
NOEYYRYH;60;2017-08-09 02:30:01 UTC;10.61;0.00;10.61;0.00;116.23
NOEYYRYH;60;2017-08-09 02:31:01 UTC;290.53;0.03;290.49;0.27;4529.95
NOEYYRYH;60;2017-08-09 02:32:01 UTC;10.95;0.00;10.95;0.00;118.69
NOEYYRYH;60;2017-08-09 02:33:01 UTC;291.31;0.00;291.31;0.00;4538.89
NOEYYRYH;60;2017-08-09 02:34:01 UTC;13.65;0.00;13.65;0.00;150.18
NOEYYRYH;60;2017-08-09 02:35:01 UTC;290.16;0.00;290.16;0.00;4525.11
NOEYYRYH;60;2017-08-09 02:36:01 UTC;10.71;0.00;10.71;0.00;115.54
NOEYYRYH;60;2017-08-09 02:37:01 UTC;289.77;0.00;289.77;0.00;4522.70
NOEYYRYH;60;2017-08-09 02:38:01 UTC;12.44;0.00;12.44;0.00;135.80
NOEYYRYH;60;2017-08-09 02:39:01 UTC;292.60;0.00;292.60;0.00;4552.41
NOEYYRYH;60;2017-08-09 02:40:01 UTC;10.59;0.00;10.59;0.00;115.79
NOEYYRYH;60;2017-08-09 02:41:01 UTC;290.54;0.00;290.54;0.00;4529.82
NOEYYRYH;60;2017-08-09 02:42:01 UTC;10.99;0.00;10.99;0.00;119.53
