# hostname;interval;timestamp;pgpgin/s;pgpgout/s;fault/s;majflt/s;pgfree/s;pgscank/s;pgscand/s;pgsteal/s;%vmeff
NOEYYRYH;60;2017-07-31 00:20:01 UTC;0.00;298.10;926.14;0.00;494.65;0.00;0.00;0.00;0.00
NOEYYRYH;60;2017-07-31 00:21:01 UTC;0.00;848.90;925.13;0.00;513.56;0.00;0.00;0.00;0.00
NOEYYRYH;60;2017-07-31 00:22:01 UTC;0.00;300.32;893.07;0.00;496.92;0.00;0.00;0.00;0.00
NOEYYRYH;60;2017-07-31 00:23:01 UTC;0.00;852.23;921.94;0.00;519.86;0.00;0.00;0.00;0.00
NOEYYRYH;59;2017-07-31 00:24:01 UTC;2388.90;885.17;13690.76;1.25;15742.86;1812.86;97.49;1896.75;99.29
NOEYYRYH;60;2017-07-31 00:25:01 UTC;13963.20;1564.94;909.63;0.02;7340.93;2036.27;0.00;2036.27;100.00
NOEYYRYH;60;2017-07-31 00:26:01 UTC;13394.79;3813.08;987.44;0.00;5832.13;19.22;0.00;19.22;100.00
NOEYYRYH;60;2017-07-31 00:27:01 UTC;27099.48;2697.75;981.13;0.00;6643.33;40.58;0.00;40.58;100.00
NOEYYRYH;60;2017-07-31 00:28:01 UTC;40288.08;2216.88;921.98;1.07;8942.39;7379.84;19.25;7398.25;99.99
NOEYYRYH;60;2017-07-31 00:29:01 UTC;40338.63;1666.51;912.83;0.17;15622.87;9086.59;0.00;9086.59;100.00
NOEYYRYH;60;2017-07-31 00:30:01 UTC;39264.03;2208.25;925.29;0.82;6507.19;5497.31;19.23;5516.54;100.00
NOEYYRYH;60;2017-07-31 00:31:01 UTC;37695.79;2339.51;922.51;0.17;10391.93;9560.43;0.00;9560.43;100.00
NOEYYRYH;60;2017-07-31 00:32:01 UTC;40092.50;2210.86;909.42;1.02;11202.86;10324.48;0.00;10324.48;100.00
NOEYYRYH;60;2017-07-31 00:33:01 UTC;4684.26;2482.96;1469.38;0.08;2249.34;1146.94;0.00;1146.94;100.00
NOEYYRYH;60;2017-07-31 00:34:01 UTC;6.41;308.19;905.00;0.02;681.52;165.47;0.00;165.47;100.00
NOEYYRYH;60;2017-07-31 00:35:01 UTC;0.00;847.09;927.53;0.00;519.13;0.00;0.00;0.00;0.00
NOEYYRYH;60;2017-07-31 00:36:01 UTC;0.00;300.12;897.88;0.00;670.88;181.48;0.00;181.48;100.00
NOEYYRYH;60;2017-07-31 00:37:01 UTC;0.00;849.10;904.92;0.00;595.50;85.39;0.00;85.39;100.00
NOEYYRYH;60;2017-07-31 00:38:01 UTC;2.14;305.02;922.09;0.00;631.89;133.49;0.00;133.49;100.00
NOEYYRYH;60;2017-07-31 00:39:01 UTC;2.07;855.09;913.64;0.00;514.11;0.00;0.00;0.00;0.00
NOEYYRYH;60;2017-07-31 00:40:01 UTC;0.00;299.27;900.65;0.00;710.27;133.42;21.35;154.77;100.00
NOEYYRYH;60;2017-07-31 00:41:01 UTC;0.13;850.04;881.35;0.02;662.59;154.80;0.00;154.80;100.00
NOEYYRYH;60;2017-07-31 00:42:01 UTC;1.60;298.87;944.88;0.00;698.22;80.05;21.35;101.40;100.00
NOEYYRYH;60;2017-07-31 00:43:01 UTC;0.00;851.88;925.57;0.00;509.67;0.00;0.00;0.00;0.00
NOEYYRYH;60;2017-07-31 00:44:01 UTC;0.47;306.50;914.90;0.00;622.47;128.04;0.00;128.04;100.00
NOEYYRYH;60;2017-07-31 00:45:01 UTC;0.00;847.36;913.13;0.00;716.99;208.14;0.00;208.14;100.00
NOEYYRYH;60;2017-07-31 00:46:01 UTC;0.00;299.32;925.97;0.00;558.32;0.00;21.35;21.35;100.00
NOEYYRYH;60;2017-07-31 00:47:01 UTC;0.00;849.36;915.59;0.00;681.49;176.09;0.00;176.09;100.00
NOEYYRYH;60;2017-07-31 00:48:01 UTC;0.00;304.37;910.77;0.00;590.96;98.17;0.00;98.17;100.00
NOEYYRYH;60;2017-07-31 00:49:01 UTC;0.27;856.25;913.51;0.00;652.61;144.12;0.00;144.12;100.00
NOEYYRYH;60;2017-07-31 00:50:01 UTC;0.00;298.02;937.90;0.00;503.23;0.00;0.00;0.00;0.00
NOEYYRYH;60;2017-07-31 00:51:01 UTC;0.07;849.97;886.49;0.00;702.04;201.77;0.00;201.77;100.00
NOEYYRYH;60;2017-07-31 00:52:01 UTC;0.00;299.07;942.09;0.00;497.90;0.00;0.00;0.00;0.00
NOEYYRYH;60;2017-07-31 00:53:01 UTC;0.00;851.90;899.40;0.00;721.48;214.01;0.00;214.01;100.00
NOEYYRYH;60;2017-07-31 00:54:01 UTC;0.07;306.20;940.09;0.00;497.93;0.00;0.00;0.00;0.00
NOEYYRYH;60;2017-07-31 00:55:01 UTC;0.07;848.58;904.09;0.00;800.38;162.30;20.29;182.58;100.00
NOEYYRYH;60;2017-07-31 00:56:01 UTC;0.00;299.40;921.91;0.00;599.18;102.47;0.00;102.47;100.00
NOEYYRYH;60;2017-07-31 00:57:01 UTC;0.00;848.21;932.56;0.00;591.35;72.55;0.00;72.55;100.00
NOEYYRYH;60;2017-07-31 00:58:01 UTC;0.00;304.20;873.93;0.00;638.09;157.97;0.00;157.97;100.00
NOEYYRYH;60;2017-07-31 00:59:01 UTC;40.83;1434.40;1614.05;0.12;1204.15;187.89;0.00;187.89;100.00
NOEYYRYH;60;2017-07-31 01:00:01 UTC;0.00;22.68;809.37;0.00;394.03;0.00;0.00;0.00;0.00
NOEYYRYH;60;2017-07-31 01:01:02 UTC;1.60;1125.27;1034.21;0.02;827.66;217.78;0.00;217.78;100.00
NOEYYRYH;59;2017-07-31 01:02:01 UTC;87.75;25.11;973.72;0.36;521.77;78.18;0.00;78.18;100.00
NOEYYRYH;60;2017-07-31 01:03:01 UTC;112.81;1133.36;1129.34;0.33;2356.79;119.55;0.00;119.55;100.00
NOEYYRYH;60;2017-07-31 01:04:01 UTC;0.13;31.49;811.44;0.00;400.88;0.00;0.00;0.00;0.00
NOEYYRYH;60;2017-07-31 01:05:01 UTC;9.07;1125.83;998.17;0.00;608.49;0.00;0.00;0.00;0.00
NOEYYRYH;60;2017-07-31 01:06:01 UTC;0.00;26.08;782.54;0.00;393.73;0.00;0.00;0.00;0.00
NOEYYRYH;60;2017-07-31 01:07:01 UTC;0.00;1125.03;1030.92;0.00;607.05;0.00;0.00;0.00;0.00
NOEYYRYH;60;2017-07-31 01:08:01 UTC;0.00;27.61;808.37;0.00;398.45;0.00;0.00;0.00;0.00
NOEYYRYH;60;2017-07-31 01:09:01 UTC;0.00;1130.29;1014.76;0.00;605.59;0.00;0.00;0.00;0.00
NOEYYRYH;60;2017-07-31 01:10:01 UTC;0.00;23.95;824.65;0.00;396.68;0.00;0.00;0.00;0.00
NOEYYRYH;60;2017-07-31 01:11:01 UTC;0.07;1124.10;1023.28;0.00;608.42;0.00;0.00;0.00;0.00
NOEYYRYH;60;2017-07-31 01:12:01 UTC;0.00;24.01;795.15;0.00;391.73;0.00;0.00;0.00;0.00
